@relation fot

@attribute feature0 numeric
@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute class {'a', 'b', 'c', 'd', 'e', 'f'}

@data
-0.77375364,-3.1181304,2.1215289,-0.66576296,2.227479,-0.54088753,-1.7728862,0.26272267,-0.20816217,-0.6389635,-0.76357675,-0.31989983,-0.29826108,0.5149385,0.16626042,-0.61662316,-0.1256135,-1.2535845,0.33902434,-1.3350316,-0.008567028,0.7629713,-0.6118294,0.47456816,-0.7416087,-0.56241655,0.098565385,-0.1457254,-0.17687564,-0.43868896,-0.3709158,0.5149385,-0.08794669,0.2114303,-0.41760838,-0.24554677,0.03095193,0.42809537,0.10702925,0.6205054,0.031028546,0.004199842,-0.108036175,-0.53364086,-2.2260141,2.0716174,-0.51127774,-0.43192643,0.9919011,-0.4592497,-0.85083544,c
-0.44790235,-0.2729038,-0.47679284,-0.622712,0.021802604,0.634002,-0.26958185,-0.42194533,-0.0615759,-0.6389635,-0.4559306,-0.39220205,-0.24385346,-1.926425,-0.15603934,0.21100384,-0.1531819,0.57506573,0.11081994,0.48695675,0.0052576377,0.029046344,-0.018940553,-0.00068305107,0.01998864,0.21327198,0.12138837,-0.09939352,-0.08176196,-0.43868896,2.7127435,-1.926425,0.1272441,-0.23755178,-0.41760838,-0.24554677,-0.23676702,-0.22385183,-0.19233365,-0.27714008,-0.24236111,0.50438297,0.30980858,-0.57759804,-1.5551134,-0.5368387,-0.55591667,-0.48795122,0.01427294,0.2894986,-0.10467187,a
2.0140784,0.79404217,-0.5709275,2.2281559,1.9699501,0.04126346,-1.7728862,-0.8327461,-0.7212198,-0.6389635,-0.21275163,-0.43936706,-0.41649252,-1.428249,-0.23611908,-1.0669945,-0.0751509,0.57506573,0.44195074,-0.2938996,-0.55218047,1.4969481,0.7652593,0.94980836,1.1205889,0.21327198,0.16592817,-0.09217533,-0.05746771,2.9197598,-0.056257166,-1.428249,-0.08794669,-0.23755178,1.3680384,0.5230011,0.70396084,0.33312213,0.2313878,-0.27714008,0.7007174,-0.16253175,-0.108036175,2.4205182,1.0104889,-0.5368387,2.4889593,3.1054423,2.268327,-0.4592497,-2.1302319,a
-0.74720806,-0.35351503,-0.5709275,-0.7183819,-0.9147958,-0.33132002,0.9464512,0.26272267,0.45148483,-0.5037598,-0.4623813,-0.3104764,0.012933091,-0.2822435,-0.23770373,1.2894377,-0.15918243,-0.9487981,-1.1856693,-1.682079,-1.0823277,0.57949203,0.7312004,-0.1194846,0.70016706,-0.5037762,-0.7170965,-0.14789602,-0.37081194,0.74665236,-0.1191873,-0.2822435,0.055516843,0.2114303,0.17762043,0.010636268,-0.2759257,-0.39352104,-0.24184401,-0.16493312,-0.28368038,-0.16253175,0.100886196,-0.57759804,-0.39150196,-0.5368387,-0.55591667,-0.48795122,0.19563454,0.7054787,-0.41629806,d
0.040094115,0.23273157,0.06840668,0.0136646675,-0.11746453,0.021018382,0.09644747,-0.011146539,-0.018553693,-0.36854613,-0.24742688,-0.2318839,-0.1700531,0.5149385,-0.1960737,0.23354027,-0.15835097,0.57506573,0.4848101,-0.2938996,0.38663343,0.029046344,-0.02812414,-0.19078003,-0.23076141,0.21327198,0.32680452,-0.110746734,0.055511568,-0.14235613,-0.5597172,0.5149385,-0.08794669,-0.23755178,0.9712621,0.35221192,-0.2187814,0.001148089,-0.17276256,0.17167743,-0.22116688,-0.16253175,-0.108036175,-0.43952852,-0.40625444,-0.5106028,-0.45575738,-0.36225355,-0.34981245,0.985703,0.04294098,f
-0.7971793,0.103655726,-0.89742905,-0.98332477,-1.0432724,-0.15050504,0.98969054,-0.2850117,-0.22454746,-0.23334241,-0.24839148,-0.34504893,-0.24416591,0.6145837,-0.20746335,-0.14569362,-0.15935273,-0.52211666,0.16150557,-0.2938996,-0.40657526,-0.33792412,-0.4674502,-0.47592217,0.12476744,-0.4365852,-0.18850274,-0.12249628,-0.2138117,-0.43868896,-0.49678007,0.6145837,0.19898038,-0.23755178,-0.21919549,-0.1601489,-0.23148125,-0.2966973,-0.20614794,-0.27714008,-0.24765718,-0.16253175,1.0062732,-0.41103604,-0.12668115,-0.426046,-0.45724165,-0.3641197,-0.20739351,0.51135397,0.048257846,f
-0.47505152,0.4028269,-0.44148862,-0.35006973,-0.43830037,-0.6282159,0.63869214,-0.2850117,-0.23565349,2.3356676,1.2679149,1.6291143,0.4443648,0.7142289,-0.11918527,0.6283252,-0.1592726,0.57506573,0.40987885,0.95548034,0.11935206,0.029046344,-0.0021773076,-0.30482897,0.14096063,0.21327198,0.28218508,-0.090396695,0.13905962,-0.33991137,-0.68557143,0.7142289,0.055516843,-0.23755178,-0.41760838,-0.24554677,-0.26957077,-0.26073474,-0.22571902,-0.27714008,-0.266733,-0.16253175,0.031243736,-0.52962923,0.04143661,-0.28156415,-0.50720596,-0.42681217,-0.56712466,-0.299517,0.6619346,f
-0.88237077,-0.059517287,-0.53327966,-0.9097114,-0.7649458,-0.12809433,0.73265195,-0.5588789,-0.2148258,-0.5037598,-0.41446295,-0.4267865,-0.30122384,0.5149385,-0.2105226,0.38662475,-0.15159912,0.57506573,-0.2713102,0.7472325,-0.47937196,1.1299697,1.2766588,0.5933708,0.83433205,0.42156407,0.3179365,-0.07196244,-0.08657245,-0.33991137,-0.4338529,0.5149385,0.1272441,0.2114303,-0.41760838,-0.24554677,-0.17962271,-0.22109075,-0.13591115,-0.27714008,-0.17771919,-0.16253175,0.100886196,-0.12788665,-0.40752348,-0.5368387,-0.12094016,0.05792622,0.26965928,-0.31663337,-0.1714518,d
1.7689791,0.79404217,-0.6983833,2.0662043,1.8114233,-0.24533756,-1.5185126,-0.5588789,-0.6535711,-0.09812873,0.047634304,-0.40163743,-0.38347092,-1.6275194,-0.25283492,-0.80819297,-0.11551576,0.57506573,0.8907928,-0.2938996,-0.13566472,0.029046344,-0.77924466,0.13509955,0.33443725,0.21327198,-0.039075118,-0.040380128,-0.022778591,2.0307314,0.76185256,-1.6275194,-0.08794669,-0.23755178,-0.41760838,-0.24554677,0.35898668,0.23352754,-0.0035033212,-0.16493312,0.3648073,-0.16253175,-0.108036175,1.5401704,1.0104889,-0.4859213,1.5948765,1.9998758,1.3554846,-0.3318081,-1.2550545,c
1.0184388,0.50062305,1.5777934,1.2283657,0.99113435,-0.36624116,-0.73938054,0.53658986,-0.006605663,-0.7741772,-0.9059955,-0.30104098,-0.26996914,0.31563792,0.5257774,-0.043206956,-0.13071245,1.3232014,4.414906,1.9777011,5.143438,0.029046344,0.19961411,-0.47592217,-0.35028648,0.66239744,3.2274528,-0.04985536,1.272513,-0.43868896,-0.1191873,0.31563792,-0.08794669,-0.23755178,-0.41760838,-0.24554677,-0.12354755,1.9357808,-0.051862057,0.3960914,-0.118383326,-0.16253175,-0.108036175,-0.57759804,-1.856409,-0.5368387,-0.55591667,-0.48795122,-0.84072185,-0.4592497,0.9860197,f
