@relation hvyN

@attribute feature0 numeric
@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute feature69 numeric
@attribute feature70 numeric
@attribute feature71 numeric
@attribute feature72 numeric
@attribute feature73 numeric
@attribute feature74 numeric
@attribute feature75 numeric
@attribute feature76 numeric
@attribute feature77 numeric
@attribute feature78 numeric
@attribute feature79 numeric
@attribute feature80 numeric
@attribute feature81 numeric
@attribute feature82 numeric
@attribute feature83 numeric
@attribute feature84 numeric
@attribute feature85 numeric
@attribute feature86 numeric
@attribute feature87 numeric
@attribute feature88 numeric
@attribute feature89 numeric
@attribute feature90 numeric
@attribute feature91 numeric
@attribute feature92 numeric
@attribute feature93 numeric
@attribute feature94 numeric
@attribute feature95 numeric
@attribute feature96 numeric
@attribute feature97 numeric
@attribute feature98 numeric
@attribute feature99 numeric
@attribute class {'a', 'b'}

@data
-0.45301,-0.45409566,-0.4515995,-0.45305333,-0.45402315,-0.45444584,-0.4528258,-0.4519822,-0.45207307,-0.45228586,-0.45087796,-0.45267996,-0.45032328,-0.4483272,-0.4499128,-0.45129612,-0.45214665,-0.4499627,-0.45296568,-0.45192346,-0.4483753,-0.45266578,-0.45113322,-0.4520804,-0.45246133,-0.45167813,-0.4507363,-0.45238262,-0.45475233,-0.4535018,-0.45536464,-0.45517796,-0.45510957,-0.45555267,-0.45593968,-0.45041534,-0.45335427,-0.45235807,-0.45199385,-0.45419568,-0.45419708,-0.4511676,-0.4533908,-0.45336762,-0.45337412,-0.4534134,-0.4530619,-0.4498145,-0.4536667,-0.4551455,-0.45535505,-0.4541226,-0.4542088,-0.45168576,-0.45429367,-0.45525932,-0.45252758,-0.4540182,-0.44988367,-0.45300508,-0.4523479,-0.44988889,-0.45168212,-0.45303816,-0.45050117,-0.45172146,-0.45229545,-0.45157865,-0.44887415,-0.45004404,-0.45079893,-0.44893652,-0.4477767,-0.44778392,-0.4455917,-0.44928885,-0.44976988,-0.4486707,-0.45086426,-0.45342982,-0.45248646,-0.45246503,-0.45411155,-0.45637587,-0.4530534,-0.456442,-0.45597863,-0.45561633,-0.4571692,-0.45623055,-0.45743778,-0.4555501,-0.4561745,-0.45382375,-0.45547703,-0.45449138,-0.45444378,-0.45679152,-0.4521339,-0.45605418,b
-0.45133644,-0.45260018,-0.4503357,-0.45145193,-0.45288014,-0.45325667,-0.452019,-0.45114082,-0.45107222,-0.4518136,-0.4504257,-0.4522124,-0.4504368,-0.44794825,-0.44901836,-0.45053932,-0.4511583,-0.44923458,-0.45208144,-0.4510979,-0.4475236,-0.45131758,-0.44973204,-0.45079276,-0.45157516,-0.45075342,-0.44972116,-0.45151693,-0.45347723,-0.4523621,-0.45379898,-0.4536424,-0.45343608,-0.45435092,-0.4544516,-0.44900537,-0.4519373,-0.4505823,-0.45019794,-0.4526235,-0.45258328,-0.44956163,-0.45208907,-0.45203987,-0.45190233,-0.4518853,-0.45139942,-0.44801593,-0.45215946,-0.45365036,-0.45361555,-0.45275846,-0.45270148,-0.45005056,-0.45252958,-0.45384824,-0.45099202,-0.45251513,-0.44807872,-0.45156106,-0.45104042,-0.4482783,-0.45039183,-0.4514752,-0.44869033,-0.45033276,-0.45068064,-0.45016152,-0.44756532,-0.44844866,-0.4491403,-0.4475349,-0.44610023,-0.44646442,-0.44384727,-0.44756997,-0.44829717,-0.44713026,-0.44964826,-0.452044,-0.4512268,-0.450786,-0.4528902,-0.45499662,-0.45131803,-0.45504573,-0.45459074,-0.45373455,-0.4559275,-0.45479193,-0.45580393,-0.453911,-0.4544264,-0.4523577,-0.45409244,-0.45289883,-0.45293114,-0.45532876,-0.45043764,-0.45434785,a
-0.45162028,-0.4527434,-0.45008072,-0.45179167,-0.4529592,-0.45324716,-0.4516306,-0.4507611,-0.45085302,-0.45123744,-0.44994366,-0.4520934,-0.44986978,-0.44761777,-0.44938567,-0.45118475,-0.45184526,-0.44933727,-0.45228708,-0.45119622,-0.44743323,-0.4514436,-0.45014453,-0.45111218,-0.4516195,-0.45097974,-0.44990215,-0.45161596,-0.45371726,-0.45242733,-0.4540305,-0.4538766,-0.4536676,-0.45415244,-0.45460406,-0.4489458,-0.45218286,-0.4510764,-0.45030168,-0.45276383,-0.45254672,-0.45009342,-0.45179188,-0.45197052,-0.45188946,-0.4518898,-0.4514406,-0.4481689,-0.45209682,-0.4538889,-0.45394787,-0.45260096,-0.4529861,-0.45062286,-0.45309818,-0.45386332,-0.4513842,-0.45252672,-0.44825348,-0.45158154,-0.4508156,-0.448365,-0.45039567,-0.4516617,-0.44931865,-0.4502952,-0.45115578,-0.45014283,-0.44742033,-0.4484983,-0.44958523,-0.4475546,-0.4463803,-0.44656324,-0.4443264,-0.44811058,-0.44848958,-0.44749266,-0.4497511,-0.45210525,-0.45095795,-0.45138255,-0.45246792,-0.45508382,-0.45180058,-0.4549684,-0.45463336,-0.45408276,-0.4559146,-0.45511314,-0.45585993,-0.4538958,-0.45494694,-0.45268095,-0.4542126,-0.4528522,-0.45314288,-0.4555455,-0.45097315,-0.45452294,a
-0.45148668,-0.45251682,-0.45024997,-0.45148417,-0.4524984,-0.4529687,-0.4512028,-0.45059204,-0.45065275,-0.45088032,-0.44941518,-0.45130107,-0.44889542,-0.44686365,-0.44837928,-0.44977257,-0.45091233,-0.44862783,-0.45163763,-0.45053452,-0.44700846,-0.45144585,-0.44965738,-0.4507722,-0.4514271,-0.45075175,-0.44956395,-0.4510462,-0.45331222,-0.45222324,-0.4539406,-0.45390752,-0.45393172,-0.4539595,-0.4544942,-0.44921446,-0.451699,-0.45068812,-0.4503289,-0.45293894,-0.45258668,-0.4497411,-0.45197266,-0.45193976,-0.4518163,-0.45190996,-0.45141444,-0.44835678,-0.45219693,-0.45344675,-0.45376852,-0.4527579,-0.45270094,-0.45019212,-0.4527326,-0.45357198,-0.45072067,-0.45219818,-0.44767728,-0.4512118,-0.45053223,-0.44816858,-0.45001826,-0.45119384,-0.44880345,-0.45009577,-0.4506568,-0.45006362,-0.44726163,-0.448644,-0.44942722,-0.4473341,-0.44624326,-0.44628894,-0.444292,-0.44789675,-0.44844586,-0.4473631,-0.44935623,-0.45204848,-0.45103002,-0.45111346,-0.45259035,-0.45485792,-0.45156208,-0.45509484,-0.4546625,-0.45408782,-0.45592135,-0.4547009,-0.45597982,-0.4541035,-0.4546382,-0.4525855,-0.4541031,-0.45309427,-0.45310327,-0.45521557,-0.45063588,-0.45471257,b
-0.2827601,-0.28495976,-0.28408012,-0.27490863,-0.28481725,-0.28661844,-0.28119454,-0.27871653,-0.2717868,-0.27119908,-0.28534472,-0.2752251,-0.27987587,-0.28024232,-0.2822567,-0.27665886,-0.28519928,-0.2823715,-0.2813406,-0.27711245,-0.27251798,-0.2850587,-0.2787602,-0.28367642,-0.28568062,-0.27517766,-0.2800649,-0.28487912,-0.27670118,-0.2811836,-0.27421722,-0.28358093,-0.2738035,-0.28398758,-0.27605715,-0.27620548,-0.27465004,-0.2753423,-0.28087515,-0.28142163,-0.27258047,-0.28180972,-0.2772089,-0.2775957,-0.27496848,-0.2777258,-0.27216837,-0.2805718,-0.2855146,-0.2860905,-0.27795723,-0.2835765,-0.27944508,-0.2765789,-0.27687347,-0.28176054,-0.28320616,-0.27409363,-0.2832611,-0.28162926,-0.28445685,-0.2793339,-0.28180963,-0.28288865,-0.2755494,-0.26852372,-0.27004498,-0.27388534,-0.2715342,-0.27067673,-0.26960704,-0.26343974,-0.25949162,-0.25884005,-0.2541096,-0.2558459,-0.2634688,-0.2560565,-0.2670132,-0.26390746,-0.2654279,-0.26858822,-0.27272668,-0.28061697,-0.27899975,-0.28050405,-0.2731283,-0.2799793,-0.28397217,-0.28430906,-0.27675414,-0.27843565,-0.2825468,-0.2848063,-0.28524238,-0.277882,-0.27450854,-0.27613017,-0.2800525,-0.27563965,b
-0.22579296,-0.18805967,-0.2049301,-0.2148496,-0.22856198,-0.19913267,-0.22934268,-0.22940364,-0.20941953,-0.22445898,-0.22552049,-0.23034637,-0.2428307,-0.27224746,-0.28691274,-0.30291298,-0.26263246,-0.270323,-0.23044597,-0.22661653,-0.21605963,-0.24251826,-0.20607336,-0.2030059,-0.22023085,-0.22816208,-0.20737062,-0.21255638,-0.20816818,-0.22949757,-0.20010245,-0.2143074,-0.21735375,-0.18575297,-0.20035358,-0.22640942,-0.20379318,-0.18051693,-0.20383257,-0.1858535,-0.20158707,-0.19204193,-0.21350127,-0.20465654,-0.20943494,-0.19370833,-0.1799611,-0.20723182,-0.18659432,-0.2053472,-0.21684876,-0.22302727,-0.2041209,-0.18619509,-0.19310041,-0.18716744,-0.22699569,-0.21836913,-0.19169912,-0.21123844,-0.18545237,-0.18409048,-0.21548073,-0.22185941,-0.21789238,-0.20275919,-0.20517327,-0.21711975,-0.21937808,-0.18365826,-0.20250022,-0.22216983,-0.18199407,-0.20240231,-0.1823479,-0.19077826,-0.20580527,-0.20314646,-0.22584228,-0.19685066,-0.21183853,-0.18320164,-0.18737897,-0.19883206,-0.21990831,-0.18641211,-0.20741256,-0.21571928,-0.20732847,-0.21526505,-0.18476403,-0.20633835,-0.22621432,-0.18045293,-0.20110312,-0.22343704,-0.19277659,-0.19926132,-0.18931426,-0.19967827,a
-0.43186575,-0.4336298,-0.43162215,-0.4330633,-0.4324809,-0.4334271,-0.43129507,-0.43070197,-0.43074784,-0.43086568,-0.43014985,-0.4316871,-0.4304132,-0.4279655,-0.43048325,-0.43127203,-0.4325549,-0.42970616,-0.43278846,-0.43183434,-0.42924365,-0.43356332,-0.43223476,-0.43374488,-0.43508282,-0.4335302,-0.43303627,-0.43324512,-0.43508556,-0.4345065,-0.43493506,-0.43483245,-0.43531013,-0.43500054,-0.43529075,-0.4300762,-0.43239287,-0.43137726,-0.43112418,-0.43318927,-0.43377122,-0.42969853,-0.43244374,-0.43226382,-0.43194276,-0.43305454,-0.4316097,-0.42939952,-0.4327452,-0.43425685,-0.43410817,-0.433654,-0.43380502,-0.43156278,-0.43337885,-0.4341281,-0.43268633,-0.43386337,-0.4298373,-0.4320197,-0.43248436,-0.42881072,-0.43061036,-0.43137452,-0.42992297,-0.43129086,-0.4316606,-0.43074033,-0.42866516,-0.4298535,-0.42976946,-0.4287477,-0.42798293,-0.4271276,-0.42484728,-0.42873567,-0.42942366,-0.42843124,-0.4301498,-0.43320876,-0.4316742,-0.432067,-0.43340594,-0.4352301,-0.43214032,-0.43551412,-0.43563855,-0.43435028,-0.4369671,-0.434718,-0.43701887,-0.43389565,-0.43570393,-0.43312156,-0.43410826,-0.43422207,-0.43346342,-0.43491215,-0.43111417,-0.4354302,a
0.1551375,0.21329156,0.19680437,0.21997142,0.22025262,0.17081125,0.18190575,0.19075394,0.20722423,0.21970838,0.15371893,0.18425824,0.15736145,0.22064348,0.20863941,0.22450243,0.19148707,0.18009931,0.17655109,0.15951584,0.20473197,0.2105109,0.19547026,0.19460076,0.1217303,0.14522669,0.14564702,0.08830334,0.08397501,0.06186756,0.10268062,0.056582946,-0.0063381298,0.034199025,0.11937746,0.08797648,0.15401539,0.16971517,0.12046939,0.16216655,0.15392841,0.17785957,0.13129051,0.21554288,0.21277358,0.19184455,0.21658774,0.21027859,0.14812823,0.18280904,0.20007479,0.16528359,0.1639586,0.20742911,0.14979063,0.20805939,0.14623593,0.18151681,0.17283292,0.20658298,0.15649484,0.1659952,0.16821955,0.18320252,0.19592862,0.19463022,0.16605273,0.17594521,0.21501008,0.22408067,0.163523,0.17394076,0.16885461,0.15304247,0.18180181,0.21832648,0.20139565,0.19132562,0.18554458,0.18681844,0.14794026,0.2010571,0.18696015,0.17222409,0.19908081,0.1615804,0.22731602,0.18443912,0.22706462,0.23426479,0.19229874,0.16950679,0.20158368,0.17864086,0.16589415,0.2176688,0.18910064,0.17478749,0.20899993,0.16605714,a
-0.41311693,-0.41364905,-0.41340026,-0.41463464,-0.41481325,-0.41558918,-0.4122296,-0.41184616,-0.4123606,-0.41168207,-0.41015506,-0.4128988,-0.40954047,-0.40946725,-0.40872848,-0.41024014,-0.41173434,-0.409963,-0.41401103,-0.41273132,-0.407889,-0.41268507,-0.4115652,-0.41133836,-0.4114966,-0.41363385,-0.41289797,-0.41394734,-0.41497454,-0.41194266,-0.41478926,-0.41451052,-0.41610017,-0.41533777,-0.41478416,-0.4125521,-0.41434464,-0.41047218,-0.41081393,-0.41266274,-0.4124729,-0.40971556,-0.4137341,-0.41234457,-0.41419172,-0.41497347,-0.41223752,-0.41118494,-0.41392598,-0.41389808,-0.4136195,-0.41442394,-0.41543534,-0.41213784,-0.41535926,-0.4166356,-0.41301444,-0.41583335,-0.4109837,-0.4160748,-0.41574287,-0.41176033,-0.41586626,-0.4167585,-0.41758516,-0.4188765,-0.41686863,-0.41728252,-0.41393396,-0.41115904,-0.4141152,-0.41216916,-0.4087487,-0.40907285,-0.40813798,-0.41168225,-0.4092622,-0.40903366,-0.4108829,-0.41512597,-0.41272977,-0.41097292,-0.4132231,-0.41730377,-0.41409647,-0.41733027,-0.41490725,-0.4167875,-0.41573554,-0.41726065,-0.41817042,-0.41529363,-0.41492972,-0.41206875,-0.41473666,-0.4155009,-0.41267636,-0.41522294,-0.41393444,-0.41447008,a
-0.4514266,-0.4524161,-0.44980362,-0.45135796,-0.45238405,-0.4528794,-0.45096585,-0.45016357,-0.45049807,-0.4505668,-0.44936165,-0.45116594,-0.44864503,-0.4465574,-0.44825354,-0.44965678,-0.4504237,-0.44831482,-0.45131207,-0.450314,-0.4468652,-0.45102376,-0.44950697,-0.45051622,-0.4508864,-0.45032352,-0.44934806,-0.4509689,-0.45307946,-0.45180002,-0.45369953,-0.45364916,-0.4535732,-0.45375594,-0.4542403,-0.44878474,-0.4516711,-0.45045027,-0.4502706,-0.45245457,-0.45233902,-0.44948524,-0.45143986,-0.45152757,-0.45166102,-0.45151466,-0.45115945,-0.44794554,-0.4518748,-0.45321164,-0.45350683,-0.4523229,-0.45258096,-0.45001107,-0.452534,-0.4535262,-0.4506225,-0.4521402,-0.4478936,-0.451255,-0.4502693,-0.44808075,-0.44969982,-0.45084858,-0.44824103,-0.4493683,-0.44989535,-0.44921255,-0.44664112,-0.44796246,-0.4489294,-0.44688767,-0.44591445,-0.44596627,-0.44376072,-0.44737422,-0.44810584,-0.44694546,-0.449051,-0.45175573,-0.4507356,-0.45061088,-0.45243308,-0.45460537,-0.45118675,-0.45476115,-0.45405543,-0.45368782,-0.45559856,-0.45448658,-0.45556867,-0.4535924,-0.4545312,-0.45200932,-0.45377073,-0.4528933,-0.4528197,-0.4548344,-0.45029917,-0.45429063,b
