@relation old

@attribute feature0 numeric
@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute feature69 numeric
@attribute feature70 numeric
@attribute feature71 numeric
@attribute class {'a', 'b'}

@data
-0.49502307,0.30629966,0.8164265,0.6073582,0.53213024,0.6090332,0.041452,-0.08940226,-0.25299427,-0.15405133,0.6904651,1.7466252,1.4574777,1.5787461,1.5406251,1.1130247,0.93155634,0.6010681,0.86400557,0.64795196,1.0281104,1.1479818,0.93382436,0.8351266,1.0433975,0.9161947,-1.4434742,-1.3102144,-1.2732452,-1.250684,-1.2259771,-1.2681239,-1.3000478,-1.3051388,-1.2149227,-0.9764459,-0.6657746,-0.46072093,-0.40845987,-0.38254339,-0.3868642,-0.41855696,-0.45950854,-0.5025549,-0.4537035,-0.42886496,-0.4306315,-0.43601823,-0.38373297,-0.31582224,-0.49761745,-0.80394095,-1.1635467,-1.5967541,0.40234008,-0.23698077,0.47049752,-2.0116773,-0.3198132,0.31204328,-0.13552953,0.25591913,-1.2483299,-0.5551468,0.16967018,-0.32944822,0.19471635,-1.0866416,-1.295848,0.28313053,-1.5823882,-0.2822099,a
1.036026,1.3879529,1.527227,1.0935776,1.590799,1.5201156,1.1975447,0.7758762,0.61824614,0.5984948,1.0137894,1.1296995,1.0932041,0.9225283,1.60026,1.355823,0.6136266,0.26458898,0.23064394,0.7217722,0.2681688,0.45258808,0.70224935,0.9881205,1.0433975,1.1818993,-0.2576424,-0.20518959,-0.1351417,-0.11121997,-0.051820792,-0.0016125795,-0.013925264,-0.09913009,-0.18928547,-0.20114344,-0.14762218,-0.10640313,-0.107305124,-0.08201659,-0.0448907,-0.08336751,-0.19395621,-0.30737805,-0.30897135,-0.3025955,-0.3018311,-0.29341745,-0.24094608,-0.17229322,-0.1491073,-0.18653055,-0.74176776,-1.0925893,-0.5221405,1.3475342,0.41079906,-1.9864706,2.0788076,0.47271603,1.0622597,0.24533777,-1.0199335,0.7563711,-0.06975477,0.43693423,0.20306022,0.20223115,-0.4806184,0.25465482,-1.5823882,-0.2822099,a
1.1125785,1.078909,0.9743821,0.6073582,0.69500244,0.940336,0.86723244,0.6972146,-0.03518412,-0.017224738,0.30247563,0.82123667,1.0324919,1.1014967,1.6598948,1.5379219,1.5038294,1.2067305,0.86400557,0.5003114,0.8001279,1.6888436,1.9373162,2.365065,1.1021014,1.2704674,-0.07797091,-0.037033554,-0.0033612507,0.0327122,0.056009848,0.070076555,0.06791875,-0.020962995,-0.13473031,-0.2226795,-0.17934571,-0.033455458,-0.044997443,-0.06129052,-0.07597913,-0.07289281,-0.14084575,-0.2314761,-0.2533052,-0.21076329,-0.1261943,-0.043866195,0.032728765,0.09084307,-0.17022902,-0.08168708,-0.74176776,0.023775794,-0.23869126,1.455531,0.32210425,-1.2050587,0.5524126,-0.20029065,0.5818094,0.22580299,-1.3396884,1.2332869,-0.22202069,1.2827934,0.1905444,0.39198866,0.422744,0.23394522,-1.1499435,-0.2822099,a
2.4905224,1.8515183,1.8431385,1.9849794,1.2650548,1.4372898,1.1149665,0.5398912,0.11002266,0.39325488,0.43180546,0.26600352,-0.24246584,-0.3899074,-0.36769405,0.56672883,-0.022232536,-0.13918588,-0.26197055,0.8694128,1.7120576,1.6888436,2.246083,2.1355746,0.57376546,1.004763,0.12565662,0.14313355,0.18831916,0.22462198,0.27167135,0.28514466,0.25499114,0.18003856,0.02893519,-0.09346252,-0.18992029,-0.27314097,-0.30461347,-0.3307284,-0.33505002,-0.38713282,-0.39577594,-0.33990762,-0.2533052,-0.1533681,-0.091067016,-0.008216115,0.09222332,0.15064679,-0.44481286,-0.08168708,-0.57672393,1.2121643,-0.50687784,1.1872265,0.24705477,-0.6757152,1.3882955,-0.14420673,1.1973863,0.20219846,-1.5452452,0.7961141,-0.034051128,1.3878162,0.17802858,1.0450503,1.1865628,0.21323562,-1.1499435,1.2968737,a
0.88292104,0.5380824,0.18460374,0.040102545,-0.36366642,0.112079345,-0.2062821,-0.32538736,-0.68861455,-0.76977086,-0.27950832,-0.41261467,0.18252008,0.14699812,0.16902061,0.14183187,-0.08581839,0.26458898,0.08989707,0.5741316,0.49615124,0.60712004,1.6285495,1.4471022,-0.013274343,0.20764942,0.18554711,0.19117805,0.21227933,0.23661639,0.27167135,0.32098922,0.33683538,0.25820565,0.15986745,0.089595124,0.032145076,0.029071257,0.16269536,0.25996235,0.30744565,0.32514447,0.3159044,0.24562277,0.2254237,0.20248212,0.10798813,0.110617794,0.12792018,0.17456838,0.2310857,0.197895,-2.392207,-1.9928836,-0.43274498,-0.26060507,-5.0285816,-1.4319202,-1.4100955,-0.7762874,-0.15554829,-4.918357,2.2918155,-1.1512914,-0.9507967,-0.10804886,-4.6405625,-0.49026063,-2.6104975,-5.065125,0.003242482,0.1581115,a
1.2656833,1.6197357,1.527227,0.9315044,0.20638603,0.2777307,0.12403006,-0.16806397,0.037419185,-0.49611774,-0.08551366,0.7595442,0.4253692,-0.03197034,0.34792563,-0.22236541,-0.40374798,1.2067305,1.4269937,0.8694128,3.3079348,3.9295564,2.709233,1.9060836,1.8065495,1.004763,0.19752525,0.29927826,0.3440598,0.35656,0.379502,0.3926786,0.36021927,0.2358723,0.08349036,-0.018085796,-0.12647301,-0.3148254,-0.37730584,-0.38254339,-0.3765013,-0.37665832,-0.36390954,-0.33990762,-0.36463752,-0.33703274,-0.40721315,-0.37660128,-0.25284505,-0.22013626,-0.44481286,-0.10498568,0.24849564,0.45591712,-0.1013274,1.1939763,0.086721815,-0.3480263,0.8068118,0.5939785,1.6478084,0.14603595,-0.40326297,-0.7936047,0.3072345,1.492839,0.17385665,0.8873298,0.7862924,0.17440511,0.003242482,4.1513715,a
1.7249982,1.3879529,1.9221163,3.0384543,3.7895727,4.667491,4.0051985,3.6076968,2.9415543,1.9667605,2.2424223,2.3018584,2.0646002,1.8173708,2.0177047,2.023518,1.6945872,1.4759138,2.2714758,3.010201,2.396005,1.0707157,0.47067434,0.07015741,1.9239573,2.7761261,-0.1977519,-0.16915613,-0.14712179,-0.08723127,-0.19559501,-0.5034379,-0.6920626,-0.9031359,-1.1167233,-1.213344,-1.2685233,-1.3360944,-1.4053853,-1.4499317,-1.5060503,-1.5393463,-1.5748283,-1.5434974,-1.5002272,-1.4390203,-1.3790702,-1.3629225,-1.3594435,-1.4281716,-0.8461277,-1.1301202,-0.08159205,1.5362704,-0.3280868,0.9982322,-0.20835905,-0.2724059,0.5160697,1.2487959,2.4035165,0.010106405,-0.40326297,2.1871178,-0.23042156,3.5251718,0.11127754,0.8281846,0.9478695,0.1329859,-2.3031292,-0.14555842,a
0.5767113,1.1561701,1.606205,2.3091254,2.7309039,2.7625005,3.1794178,2.4277718,2.142917,2.3772402,2.1130927,2.1167805,2.4895866,2.1156516,2.07734,2.1449175,1.8217589,0.6683638,-0.5434646,-0.9760942,-1.4037026,-1.3245288,-0.6100092,-0.77130884,1.8065495,1.6247402,-1.4075398,-1.3462479,-1.2852253,-1.2626785,-1.2499394,-1.2083828,-1.1714355,-1.1711378,-1.2476557,-1.2779526,-1.2367997,-1.1589355,-1.1042306,-1.014686,-0.92573166,-0.858493,-0.8206597,-0.83869255,-0.9658321,-1.1176072,-1.2034334,-1.3629225,-1.442736,-1.3803287,-0.941176,-1.2116649,-1.7778767,0.635976,3.0863862,0.5038096,-0.3124049,-2.0494876,-1.1193535,1.996076,1.1840404,-0.14373003,-2.2989538,-0.356432,1.0675138,2.476363,-0.038912304,-0.98806614,0.47415495,0.1459294,0.72398365,-0.2822099,a
-0.34191817,0.07451686,-0.13130763,-0.12197047,-0.52653855,-0.7161773,-0.2062821,-0.32538736,-0.54340774,-0.29087794,-0.020848831,0.32769617,0.24323228,0.68390363,0.7653703,0.44532967,0.35928303,0.26458898,0.4417646,0.3526708,0.04018629,0.22079025,-0.22405082,-0.23583029,0.22154154,0.030513048,-1.4554522,-1.4303259,-1.4409659,-1.4665825,-1.5015444,-1.542933,-1.48712,-1.4949734,-1.4876984,-1.3533292,-1.0570325,-0.82545996,-0.6992297,-0.66234416,-0.6355722,-0.6175756,-0.66132826,-0.7736336,-0.8544998,-0.8076732,-0.8053233,-0.7925199,-0.7407003,-0.7105269,-0.7193967,-1.0951724,-1.6770167,-0.6244362,2.4104688,-0.97439617,-0.13842659,-1.9234535,-0.646898,1.5352784,-1.1197853,-0.046056103,-2.002038,0.8756,-0.9507967,-0.10804886,0.019494858,-0.6578387,-0.19418629,0.17440511,1.588873,-0.2822099,a
-0.41847065,-0.62083155,-0.68415254,-0.68922627,-0.6079746,-0.79900295,-0.8669065,-0.9546808,-0.68861455,-0.70135754,0.10848099,0.38938868,0.24323228,-0.03197034,0.049750786,0.26323104,-0.08581839,-0.34107345,-0.19159703,-0.16407119,-0.035807885,0.06625831,0.0075242626,0.07015741,-0.24809037,-0.3237595,-0.65291965,-0.6616129,-0.6263233,-0.6509661,-0.62691766,-0.5990237,-0.65698653,-0.63513404,-0.51661646,-0.27651995,-0.063025735,-0.033455458,-0.08653597,-0.06129052,-0.055253576,-0.0624183,-0.18333407,-0.27484867,-0.2533052,-0.1992842,-0.16132157,-0.19835041,-0.16955258,-0.184254,-0.15966827,-0.33797076,-1.0901939,-1.1646127,0.7206754,-0.1256091,0.11401253,-2.1881254,-0.8286116,0.7607145,-0.14053422,0.08498975,-1.6822832,-0.8333476,0.9929561,-0.23294082,0.09876172,-0.87963325,-0.37045226,0.20546952,1.7330213,-0.2822099,a
