@relation sbs

@attribute feature0 numeric
@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute class {'D1', 'D2', 'D3', 'D4'}

@data
0.64242566,-1.0660036,0.6213365,0.35502344,1.4605936,-0.6786441,-1.428576,-0.8237544,-0.97894496,1.0700912,0.48666418,-0.5527708,1.5271182,-0.78261495,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
1.1374094,-1.0660036,0.6213365,0.35502344,-0.68465316,1.1976072,-0.25062734,-0.8237544,1.0215077,1.0700912,0.48666418,1.8090681,1.5271182,-1.8972483,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
0.14744194,-1.0660036,0.6213365,0.35502344,-0.68465316,0.25948152,-1.428576,1.213954,1.0215077,-0.1565987,0.48666418,-0.5527708,1.5271182,-1.8972483,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
1.6323931,-1.0660036,0.6213365,0.35502344,-0.68465316,-0.6786441,-0.25062734,-0.8237544,-0.97894496,-1.3832887,0.48666418,1.8090681,1.5271182,-0.78261495,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
0.64242566,-1.0660036,0.6213365,0.35502344,-0.68465316,1.1976072,-1.428576,1.213954,-0.97894496,1.0700912,0.48666418,-0.5527708,1.5271182,-0.78261495,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
1.1374094,-1.0660036,0.6213365,0.35502344,-0.68465316,0.25948152,-1.428576,-0.8237544,1.0215077,-1.3832887,0.48666418,1.8090681,1.5271182,-0.78261495,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
0.14744194,-1.0660036,0.6213365,0.35502344,-0.68465316,0.25948152,-0.25062734,-0.8237544,-0.97894496,-0.1565987,0.48666418,1.8090681,1.5271182,-1.8972483,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
0.14744194,-1.0660036,0.6213365,0.35502344,-0.68465316,-0.6786441,-1.428576,1.213954,1.0215077,1.0700912,0.48666418,-0.5527708,1.5271182,-1.8972483,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
1.6323931,-1.0660036,0.6213365,0.35502344,-0.68465316,1.1976072,-1.428576,-0.8237544,1.0215077,-0.1565987,0.48666418,-0.5527708,1.5271182,-0.78261495,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
1.6323931,-1.0660036,0.6213365,0.35502344,-0.68465316,-0.6786441,-1.428576,-0.8237544,-0.97894496,1.0700912,0.48666418,-0.5527708,1.5271182,-0.78261495,1.9235382,0.8987171,-0.3450328,-0.51987517,-0.51987517,-1.1618949,-0.7878386,D1
1.6323931,-1.0660036,-1.8122313,1.8719419,1.4605936,-1.6167698,0.9273213,-0.8237544,-0.97894496,-1.3832887,0.48666418,1.8090681,-1.343864,1.4466518,-0.51987517,-1.1126974,-0.3450328,1.9235382,1.9235382,-1.1618949,-0.7878386,D2
0.64242566,-1.0660036,-1.8122313,0.35502344,-0.68465316,0.25948152,2.10527,-0.8237544,1.0215077,-0.1565987,0.48666418,-0.5527708,-1.343864,1.4466518,-0.51987517,-1.1126974,-0.3450328,1.9235382,1.9235382,-1.1618949,-0.7878386,D2
1.1374094,-1.0660036,-1.8122313,1.8719419,-0.68465316,1.1976072,0.9273213,-0.8237544,-0.97894496,1.0700912,0.48666418,-0.5527708,-1.343864,1.4466518,-0.51987517,-1.1126974,-0.3450328,1.9235382,1.9235382,-1.1618949,-0.7878386,D2
